Date,Open,High,Low,Close
2000-01-24,92.83236451065108,92.95186551624299,88.8489976575873,89.44650268554688
2000-01-25,89.5560263587955,90.46224212646484,88.59006010095015,90.46224212646484
2000-01-26,89.86475552128411,90.21330011827492,89.28716733198507,89.74525451660156
2000-01-27,90.40250778198242,90.64150978537167,88.03240458170573,89.38674926757812
2000-01-28,88.86889194323584,89.26722852747267,86.37928829175569,86.59837341308594
2000-01-31,86.55852817752358,89.01825625619918,86.04069068727608,88.94854736328125
2000-02-01,89.06809609829719,90.30294000663673,88.29133944627715,89.82493591308594
2000-02-02,90.04399698584493,90.66141877451142,89.46640886096338,89.90457916259766
2000-02-03,89.78505827005853,91.29873715837363,89.22738710067928,91.25890350341797
2000-02-04,91.25890526404747,91.77674278846153,90.58173311673677,90.88048553466797
2000-02-07,90.86058222274177,91.00000003851538,90.14357631304894,90.74108123779297
2000-02-08,91.75685933287808,92.13527919989016,91.53777414671319,91.97594451904297
2000-02-09,92.0754922058065,92.0754922058065,90.03401741647161,90.04397583007812
2000-02-10,90.26308500782544,90.8605899836054,89.78508102720147,90.22325134277344
2000-02-11,90.40248406690861,90.46223455208171,87.97263100320232,88.39088439941406
2000-02-14,89.08799631364883,89.08799631364883,88.15190513843277,88.90874481201172
2000-02-15,88.74942347498772,90.00418417492583,87.82329057741435,89.91455841064453
2000-02-16,89.4663901637784,89.82489306292088,88.46059036340645,88.59004974365234
2000-02-17,89.5062422930184,89.5062422930184,88.09214723231429,88.1319808959961
2000-02-18,88.51039446330786,88.51039446330786,85.80170552383669,86.23987579345703
2000-02-22,86.16023083753292,86.89715375500604,85.1046385503417,86.02081298828125
2000-02-23,86.43905506963316,87.614148214589,85.72204908288043,87.03656005859375
2000-02-24,87.11619967336355,87.33528476627782,84.82576461107804,85.28385162353516
2000-02-25,86.16020238937365,87.136127011907,84.84569167330831,84.97515106201172
2000-02-28,85.00505466653843,87.11623924822847,84.58680111733568,86.75773620605469
2000-02-29,86.71786734948326,87.59420776367188,86.5186990735313,87.59420776367188
